Russell Group,UKPRN,HE provider,income_rus,Academic Year
Member,10007774,The University of Oxford,£784837,2023/24
Member,10007788,The University of Cambridge,£572481,2023/24
Member,10007784,University College London,£522266,2023/24
Member,10003270,"Imperial College of Science, Technology and Medicine",£386100,2023/24
Member,10007790,The University of Edinburgh,£337978,2023/24
Member,10007798,The University of Manchester,£269864,2023/24
Member,10003645,King's College London,£232053,2023/24
Member,10007794,The University of Glasgow,£220589,2023/24
Member,10007786,The University of Bristol,£210786,2023/24
Member,10007157,The University of Sheffield,£203450,2023/24
Member,10006840,The University of Birmingham,£196726,2023/24
Member,10007795,The University of Leeds,£184764,2023/24
Member,10007163,The University of Warwick,£143393,2023/24
Member,10007775,Queen Mary University of London,£136896,2023/24
Member,10007814,Cardiff University,£133624,2023/24
Member,10007154,University of Nottingham,£129940,2023/24
Member,10007158,The University of Southampton,£122529,2023/24
Member,10007799,Newcastle University,£119345,2023/24
Member,10007792,The University of Exeter,£118689,2023/24
Member,10006842,The University of Liverpool,£117293,2023/24
Member,10005343,Queen's University Belfast,£103093,2023/24
Member,10007167,The University of York,£95944,2023/24
Member,10007143,University of Durham,£56718,2023/24
Member,10004063,London School of Economics and Political Science,£40599,2023/24
