companyId,companyName,companySize,companyUrl,companyLocation,com_user_id,reviewDateTime,jobTitle,isCurrentJob,LengthOfEmployment,EmploymentStatus,location,ratingOverall,ratingWorkLifeBalance,ratingCultureAndValues,ratingDiversityAndInclusion,ratingCareerOpportunities,ratingCompensationAndBenefits,ratingSeniorLeadership,summary,advice,pros,cons,ratingRecommendToFriend,ratingCeo,ratingBusinessOutlook,countHelpful,countNotHelpful
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",70821614,2022-11-06T02:51:15.890,Underwriter Trainee,True,0,REGULAR,"Yuma, AZ",5,0,0,0,0,0,0,Not bad,,Great culture with leaders that truly care,A little too Impersonal with virtual meetings,,,,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",76598703,2023-05-19T11:33:12.607,Insurance Agent,False,6,REGULAR,,3,3,3,3,3,3,2,Decent,,Remote so no office to go to.,Very entry level. They monitor everything you do all the way down to how often your mouse moves. You can make decent money but with current changes I wouldn’t recommend this position.,NEGATIVE,,NEGATIVE,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",76054541,2023-05-02T19:56:48.623,Systems Analyst,False,0,REGULAR,"Scottsdale, AZ",4,0,0,0,0,0,0,Systems analyst,,"Collaborate , engaging atmosphere. Great team work",None that I can think of,,,,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",69748702,2022-10-04T07:52:31.503,Technical Lead,False,4,REGULAR,,4,4,5,5,3,3,4,A big part of my career progression,,Great work life balance and team morale. Very technical peers.,Slow moving organisation - thorough processes are somewhat difficult to navigate,POSITIVE,NO_OPINION,,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",8054104,2015-09-23T14:05:38.437,Treasury Analyst,False,2,REGULAR,"Cambridge, MA",4,5,4,0,4,3,3,Good place to start career in finance,,"The working hours and pressure is less than most of the big banks, generous support on learning and development (CFA study and exams etc), there are opportunities to move up or jump to other banks if you doing a good job in a good team","lower salary than most of the big banks, more local and closed than most of the big banks, not providing T2 work visa for foreign nationals",POSITIVE,NO_OPINION,NEUTRAL,1,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",53645809,2021-10-07T00:05:40.873,,True,0,REGULAR,,4,0,0,0,0,0,0,A caring organisation on the cusp of agility,Become truly accountable for self and your teams development and learning,"it's people
it's culture
most benefits
It's a place you can find your self staying for 10 years - loyalty is high","Slow to manoeuvre
Leadership accountability for development to learning and growth culture needs improving
Grappling with agility but on the cusp of change",POSITIVE,APPROVE,POSITIVE,1,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",10984595,2016-06-20T18:38:32.777,,False,0,REGULAR,,4,0,0,0,0,0,0,pricing specialist,Hire fewer managers and more people who can actually do the work.,Company is very family-oriented.,"Company has too many managers, resulting in excess costs.",,,,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",9670893,2016-02-23T08:30:09.797,,True,0,,,4,0,0,0,0,0,0,Nationwide,,Great culture and good work life balance,Not great career opportunities at that site- work was migrating to Swindon,,,,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",50496065,2021-07-30T13:34:26.587,Senior Test Engineer-QA,True,0,PART_TIME,"New York, NY",4,3,4,3,4,3,4,company reviews,,provide a suitable comfortable working environment,The workload does not match the set salary,POSITIVE,NO_OPINION,NEUTRAL,0,0
E9426,Nationwide Building Society,10000+ Employees,https://www.nationwide-jobs.co.uk/,"Swindon, United Kingdom",26248095,2019-05-21T10:34:45.987,Claims Representative,False,2,REGULAR,,4,4,4,0,4,4,4,Decent job,,Lot of opportunity if you stay awhile,I didn't like the hours,,,,0,0
