reviewID,total_pros,total_cons
rw0001,1,1
rw0002,1,0
rw0003,1,2
rw0004,0,0
rw0005,5,1
rw0006,0,0
rw0007,3,0
rw0008,0,0
rw0009,0,0
rw0010,1,0
rw0011,0,4
rw0012,0,2
rw0013,1,0
rw0014,2,0
rw0015,1,6
rw0016,0,1
rw0017,1,1
rw0018,1,0
rw0019,0,0
rw0020,3,1
rw0021,3,0
rw0022,1,3
rw0023,2,1
rw0024,2,0
rw0025,3,1
rw0026,0,0
rw0027,0,2
rw0028,0,0
rw0029,0,1
rw0030,0,0
rw0031,0,1
rw0032,2,0
rw0033,0,0
rw0034,1,3
rw0035,5,0
rw0037,1,0
rw0038,0,0
rw0039,2,1
rw0040,1,3
rw0041,3,0
rw0042,2,1
rw0043,3,0
rw0044,1,1
rw0045,1,0
rw0046,2,0
rw0047,2,1
rw0048,7,2
rw0049,1,0
rw0051,2,3
rw0052,3,4
rw0053,1,1
rw0054,1,2
rw0055,1,1
rw0056,0,1
rw0057,1,1
rw0058,2,0
rw0059,1,6
rw0060,1,1
rw0061,0,1
rw0062,1,0
rw0063,3,4
rw0064,1,1
rw0065,1,1
rw0066,3,2
rw0067,1,2
rw0068,0,1
rw0069,0,5
rw0070,0,1
rw0071,2,2
rw0072,1,0
rw0073,2,2
rw0074,3,0
rw0075,1,1
rw0076,0,0
rw0077,2,1
rw0078,1,1
rw0079,2,1
rw0080,1,0
rw0081,0,4
rw0082,0,0
rw0083,2,4
rw0084,0,0
rw0085,0,0
rw0086,0,1
rw0087,1,0
rw0088,0,0
rw0089,0,1
rw0091,1,0
rw0092,1,1
rw0093,1,2
rw0094,1,0
rw0095,1,0
rw0096,0,0
rw0097,0,1
rw0098,2,2
rw0099,5,1
rw0100,2,1
rw0101,2,1
rw0102,0,0
rw0103,2,1
rw0104,1,0
rw0106,1,0
rw0107,0,1
rw0108,1,1
rw0109,0,1
rw0110,1,2
rw0111,0,4
rw0112,2,0
rw0113,1,0
rw0114,3,1
rw0115,1,0
rw0117,3,2
rw0118,0,1
rw0119,1,1
rw0120,0,0
rw0121,0,0
rw0122,3,2
rw0123,1,1
rw0124,1,1
rw0125,0,1
rw0126,1,0
rw0127,5,3
rw0128,0,1
rw0129,1,1
rw0130,0,2
rw0131,2,0
rw0132,0,1
rw0133,1,2
rw0134,1,0
rw0136,4,1
rw0138,3,1
rw0139,1,1
rw0141,1,0
rw0142,1,5
rw0143,0,2
rw0144,1,2
rw0145,2,2
rw0146,1,2
rw0147,1,1
rw0149,1,1
rw0151,2,1
rw0152,1,0
rw0153,1,2
rw0154,3,1
rw0157,0,1
rw0158,3,3
rw0159,1,0
rw0160,0,2
rw0161,0,0
rw0162,0,2
rw0163,1,2
rw0165,1,1
rw0166,1,1
rw0167,0,2
rw0168,1,1
rw0170,2,1
rw0171,0,0
rw0172,1,2
