Date,SGD,CNY
2-Jan-18,3.0231,0.6204
3-Jan-18,3.0258,0.6195
4-Jan-18,3.0192,0.6177
5-Jan-18,3.0141,0.6158
8-Jan-18,3.0057,0.6145
9-Jan-18,3.0038,0.6155
10-Jan-18,3.0023,0.6141
11-Jan-18,3.0006,0.6145
12-Jan-18,2.9886,0.6111
15-Jan-18,2.9914,0.6129
16-Jan-18,2.9918,0.6148
17-Jan-18,2.987,0.6111
18-Jan-18,2.9879,0.6157
19-Jan-18,2.9821,0.6134
22-Jan-18,2.9804,0.6144
23-Jan-18,2.9784,0.6129
24-Jan-18,2.9753,0.6114
25-Jan-18,2.9813,0.6119
26-Jan-18,2.9666,0.6139
29-Jan-18,2.9574,0.6115
30-Jan-18,2.9678,0.6137
2-Feb-18,2.9647,0.616
5-Feb-18,2.9505,0.6178
6-Feb-18,2.9573,0.621
7-Feb-18,2.9561,0.6202
8-Feb-18,2.9546,0.6242
9-Feb-18,2.9545,0.6216
12-Feb-18,2.9611,0.6241
13-Feb-18,2.9693,0.6215
14-Feb-18,2.9732,0.6195
15-Feb-18,2.9598,0.6128
19-Feb-18,2.9626,0.6117
20-Feb-18,2.9607,0.6124
21-Feb-18,2.9612,0.615
22-Feb-18,2.9532,0.616
23-Feb-18,2.9595,0.6144
26-Feb-18,2.9611,0.6167
27-Feb-18,2.9633,0.6166
28-Feb-18,2.962,0.6213
1-Mar-18,2.9591,0.6197
2-Mar-18,2.9597,0.6149
5-Mar-18,2.9506,0.6129
6-Mar-18,2.9603,0.614
7-Mar-18,2.9594,0.6179
8-Mar-18,2.9675,0.6166
9-Mar-18,2.9676,0.6163
12-Mar-18,2.9657,0.6158
13-Mar-18,2.9735,0.6163
14-Mar-18,2.9674,0.6153
15-Mar-18,2.983,0.6177
16-Mar-18,2.9837,0.6207
19-Mar-18,2.968,0.6172
20-Mar-18,2.9724,0.6175
21-Mar-18,2.9715,0.6188
22-Mar-18,2.9761,0.6173
23-Mar-18,2.974,0.6171
26-Mar-18,2.9785,0.6189
27-Mar-18,2.9696,0.6192
28-Mar-18,2.952,0.6147
29-Mar-18,2.9443,0.6134
30-Mar-18,2.9422,0.6133
2-Apr-18,2.9408,0.6134
3-Apr-18,2.946,0.6154
4-Apr-18,2.9448,0.6135
5-Apr-18,2.947,0.6134
6-Apr-18,2.9359,0.6131
9-Apr-18,2.9379,0.6123
10-Apr-18,2.9449,0.612
11-Apr-18,2.9504,0.6148
12-Apr-18,2.9587,0.617
13-Apr-18,2.9555,0.6159
16-Apr-18,2.9548,0.6176
17-Apr-18,2.9661,0.6188
18-Apr-18,2.9653,0.6186
19-Apr-18,2.966,0.6193
20-Apr-18,2.9629,0.6193
23-Apr-18,2.9588,0.6187
24-Apr-18,2.9445,0.618
25-Apr-18,2.9512,0.6189
26-Apr-18,2.9478,0.6185
27-Apr-18,2.9513,0.6182
30-Apr-18,2.9561,0.6178
2-May-18,2.9402,0.6195
3-May-18,2.947,0.6185
4-May-18,2.9558,0.6192
7-May-18,2.9537,0.6184
8-May-18,2.9543,0.6192
14-May-18,2.989,0.6291
15-May-18,2.9554,0.6223
16-May-18,2.9462,0.6207
17-May-18,2.9574,0.6222
18-May-18,2.9599,0.6234
21-May-18,2.9554,0.6224
22-May-18,2.9621,0.6214
23-May-18,2.9638,0.6233
24-May-18,2.962,0.6229
25-May-18,2.9692,0.6238
28-May-18,2.969,0.6225
30-May-18,2.965,0.6216
31-May-18,2.9717,0.6199
1-Jun-18,2.9726,0.6205
4-Jun-18,2.9709,0.6189
5-Jun-18,2.973,0.6195
6-Jun-18,2.9751,0.6195
7-Jun-18,2.9822,0.6214
8-Jun-18,2.9824,0.6219
11-Jun-18,2.9843,0.621
12-Jun-18,2.9812,0.6226
13-Jun-18,2.9859,0.6233
14-Jun-18,2.9892,0.6237
18-Jun-18,2.9534,0.6204
19-Jun-18,2.9562,0.6203
20-Jun-18,2.9461,0.6162
21-Jun-18,2.9482,0.6186
22-Jun-18,2.9504,0.6166
25-Jun-18,2.9464,0.6161
26-Jun-18,2.9522,0.614
27-Jun-18,2.9508,0.611
28-Jun-18,2.9516,0.6106
29-Jun-18,2.9559,0.6099
2-Jul-18,2.958,0.6091
3-Jul-18,2.9489,0.6054
4-Jul-18,2.9649,0.6084
5-Jul-18,2.9592,0.6094
6-Jul-18,2.9618,0.6087
9-Jul-18,2.9722,0.607
10-Jul-18,2.9688,0.6073
11-Jul-18,2.9608,0.6078
12-Jul-18,2.9636,0.605
13-Jul-18,2.9622,0.6051
16-Jul-18,2.9639,0.6045
17-Jul-18,2.9654,0.6035
18-Jul-18,2.9694,0.6039
19-Jul-18,2.9692,0.6031
20-Jul-18,2.9642,0.5988
23-Jul-18,2.9746,0.5976
24-Jul-18,2.9737,0.5984
25-Jul-18,2.9763,0.5978
26-Jul-18,2.9793,0.5976
27-Jul-18,2.9821,0.5986
30-Jul-18,2.9813,0.5956
31-Jul-18,2.9807,0.5949
1-Aug-18,2.9814,0.5953
2-Aug-18,2.983,0.5952
3-Aug-18,2.9795,0.5955
6-Aug-18,2.9812,0.5962
7-Aug-18,2.9816,0.595
8-Aug-18,2.9859,0.5959
9-Aug-18,2.9882,0.596
10-Aug-18,2.9833,0.5976
13-Aug-18,2.9716,0.5969
14-Aug-18,2.9743,0.5937
15-Aug-18,2.9712,0.5948
16-Aug-18,2.9731,0.5914
17-Aug-18,2.982,0.5959
20-Aug-18,2.9879,0.5954
21-Aug-18,2.9922,0.5966
23-Aug-18,2.9928,0.599
24-Aug-18,2.9909,0.597
27-Aug-18,2.9987,0.6008
28-Aug-18,3.0054,0.6006
29-Aug-18,3.0062,0.6029
30-Aug-18,3.0078,0.6017
3-Sep-18,2.9993,0.6027
4-Sep-18,3.0078,0.6055
5-Sep-18,3.007,0.6048
6-Sep-18,3.0124,0.6062
7-Sep-18,3.0121,0.6057
12-Sep-18,3.0147,0.6036
13-Sep-18,3.017,0.603
14-Sep-18,3.0193,0.6042
18-Sep-18,3.0156,0.6041
19-Sep-18,3.0209,0.6034
20-Sep-18,3.0226,0.6041
21-Sep-18,3.0283,0.6031
24-Sep-18,3.0262,0.6025
25-Sep-18,3.0241,0.6022
26-Sep-18,3.0269,0.6019
27-Sep-18,3.0308,0.6014
28-Sep-18,3.0283,0.6011
1-Oct-18,3.0244,0.6019
2-Oct-18,3.0162,0.6026
3-Oct-18,3.0108,0.6024
4-Oct-18,3.0012,0.6034
5-Oct-18,2.9993,0.6031
8-Oct-18,2.9977,0.6037
9-Oct-18,3.0015,0.5993
10-Oct-18,3.0078,0.5995
11-Oct-18,3.0063,0.5999
12-Oct-18,3.0201,0.6025
15-Oct-18,3.0133,0.6
16-Oct-18,3.0175,0.5997
17-Oct-18,3.0197,0.6001
18-Oct-18,3.0147,0.5995
19-Oct-18,3.0104,0.5991
22-Oct-18,3.0163,0.6
23-Oct-18,3.0122,0.5985
24-Oct-18,3.0184,0.5995
25-Oct-18,3.0164,0.5998
26-Oct-18,3.0181,0.6001
29-Oct-18,3.022,0.6011
30-Oct-18,3.0178,0.5999
31-Oct-18,3.0184,0.6002
1-Nov-18,3.0217,0.5995
2-Nov-18,3.0298,0.6024
5-Nov-18,3.0295,0.6037
7-Nov-18,3.0369,0.6019
8-Nov-18,3.0391,0.6022
9-Nov-18,3.0339,0.6016
12-Nov-18,3.0318,0.6007
13-Nov-18,3.0279,0.6021
14-Nov-18,3.0355,0.6015
15-Nov-18,3.0433,0.6032
16-Nov-18,3.0421,0.603
19-Nov-18,3.0472,0.6031
21-Nov-18,3.0489,0.604
22-Nov-18,3.0502,0.6047
23-Nov-18,3.0554,0.605
26-Nov-18,3.0482,0.6035
27-Nov-18,3.0473,0.6036
28-Nov-18,3.0401,0.6027
29-Nov-18,3.0525,0.603
30-Nov-18,3.0528,0.6023
3-Dec-18,3.048,0.5996
4-Dec-18,3.0438,0.6045
5-Dec-18,3.0403,0.6073
6-Dec-18,3.0357,0.6058
